x	cosh(x)		cosh'(x)		cosh'(x)		cosh''(x)	cosh''(x)

			           af	      df	        af	      df

0.000000 1.000000 0.000000 0.010000 1.000000 1.000033
0.020000 1.000200 0.020001 0.030005 1.000200 1.000233
0.040000 1.000800 0.040011 0.050022 1.000800 1.000833
0.060000 1.001801 0.060036 0.070058 1.001801 1.001834
0.080000 1.003202 0.080085 0.090123 1.003202 1.003235
0.100000 1.005004 0.100167 0.110224 1.005004 1.005038
0.120000 1.007209 0.120288 0.130369 1.007209 1.007242
0.140000 1.009816 0.140458 0.150566 1.009816 1.009850
0.160000 1.012827 0.160684 0.170823 1.012827 1.012861
0.180000 1.016244 0.180974 0.191148 1.016244 1.016278
0.200000 1.020067 0.201336 0.211550 1.020067 1.020101
0.220000 1.024298 0.221779 0.232037 1.024298 1.024332
0.240000 1.028939 0.242311 0.252617 1.028939 1.028973
0.260000 1.033991 0.262939 0.273297 1.033991 1.034025
0.280000 1.039457 0.283673 0.294087 1.039457 1.039491
0.300000 1.045339 0.304520 0.314994 1.045339 1.045373
0.320000 1.051638 0.325489 0.336028 1.051638 1.051673
0.340000 1.058359 0.346589 0.357196 1.058359 1.058394
0.360000 1.065503 0.367827 0.378506 1.065503 1.065538
0.380000 1.073073 0.389212 0.399969 1.073073 1.073109
0.400000 1.081072 0.410752 0.421591 1.081072 1.081108
0.420000 1.089504 0.432457 0.443382 1.089504 1.089541
0.440000 1.098372 0.454335 0.465350 1.098372 1.098408
0.460000 1.107679 0.476395 0.487504 1.107679 1.107716
0.480000 1.117429 0.498646 0.509853 1.117429 1.117466
0.500000 1.127626 0.521095 0.532407 1.127626 1.127664
0.520000 1.138274 0.543754 0.555173 1.138274 1.138312
0.540000 1.149378 0.566629 0.578161 1.149378 1.149416
0.560000 1.160941 0.589732 0.601381 1.160941 1.160979
0.580000 1.172968 0.613070 0.624841 1.172968 1.173007
0.600000 1.185465 0.636654 0.648551 1.185465 1.185505
0.620000 1.198436 0.660492 0.672521 1.198436 1.198476
0.640000 1.211887 0.684594 0.696759 1.211887 1.211927
0.660000 1.225822 0.708970 0.721276 1.225822 1.225863
0.680000 1.240247 0.733630 0.746082 1.240247 1.240289
0.700000 1.255169 0.758584 0.771186 1.255169 1.255211
0.720000 1.270593 0.783840 0.796599 1.270593 1.270635
0.740000 1.286525 0.809411 0.822330 1.286525 1.286568
0.760000 1.302971 0.835305 0.848391 1.302971 1.303015
0.780000 1.319939 0.861533 0.874790 1.319939 1.319983
0.800000 1.337435 0.888106 0.901540 1.337435 1.337480
0.820000 1.355466 0.915034 0.928650 1.355466 1.355511
0.840000 1.374039 0.942328 0.956132 1.374039 1.374085
0.860000 1.393161 0.969999 0.983996 1.393161 1.393208
0.880000 1.412841 0.998058 1.012254 1.412841 1.412888
0.900000 1.433086 1.026517 1.040917 1.433086 1.433134
0.920000 1.453905 1.055386 1.069996 1.453905 1.453953
0.940000 1.475305 1.084677 1.099503 1.475305 1.475354
0.960000 1.497295 1.114402 1.129450 1.497295 1.497345
0.980000 1.519884 1.144573 1.159848 1.519884 1.519934
1.000000 1.543081 1.175201 1.190711 1.543081 1.543132
1.020000 1.566895 1.206300 1.222050 1.566895 1.566947
1.040000 1.591336 1.237881 1.253878 1.591336 1.591389
1.060000 1.616413 1.269958 1.286207 1.616413 1.616467
