x	cosh(x)	cosh'(x) cosh'(x) cosh''(x) cosh''(x)

                  af   	    df	     af	      df

0.000000 1.000000 0.000000 0.255252 1.000000 1.021008
0.500000 1.127626 0.521095 0.830909 1.127626 1.151315
1.000000 1.543081 1.175201 1.618658 1.543081 1.575497
1.500000 2.352410 2.129279 2.819572 2.352410 2.401828
2.000000 3.762196 3.626860 4.740188 3.762196 3.841231
2.500000 6.132289 6.050204 7.870745 6.132289 6.261115
3.000000 10.067662 10.017875 13.010325 10.067662 10.279161
3.500000 16.572825 16.542627 21.470816 16.572825 16.920982
4.000000 27.308233 27.289917 35.411775 27.308233 27.881917
4.500000 45.014120 45.003011 58.391657 45.014120 45.959764
5.000000 74.209949 74.203211 96.276122 74.209949 75.768930
5.500000 122.348010 122.343923 158.735253 122.348010 124.918262
6.000000 201.715636 201.713157 261.711864 201.715636 205.953222
6.500000 332.571568 332.570065 431.490934 332.571568 339.558139
7.000000 548.317035 548.316123 711.408897 548.317035 559.835927
7.500000 904.021484 904.020931 1172.915355 904.021484 923.012915
8.000000 1490.479161 1490.478826 1933.810721 1490.479161 1521.790733
8.500000 2457.384522 2457.384318 3188.315007 2457.384522 2509.008572
9.000000 4051.542025 4051.541902 5256.642854 4051.542025 4136.655693
9.500000 6679.863452 6679.863377 8666.738936 6679.863452 6820.192164
10.000000 11013.232920 11013.232875 14289.036862 11013.232920 11244.595852
